name,website,total_aum,asset_class,main_sdg,impact_focuses,firm_category,firm_hq,years_in_op,total_investors,capital_from_top_3,lead_total_impact_exp,top_3_impact_exp,pct_invest_women,pct_invest_poc,pct_sr_mgmt_women,pct_sr_mgmt_poc,target_return_bm,target_return_perf,report_freq,pct_aum_impact,primary_sdg,secondary_sdg,value_add_services,impact_tracked,impact_verified,impact_reported,list_of_validators
Quona Capital,https://quona.com/,$500 – 999M,Private Equity,1 – No Poverty,"['Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance', 'Job creation and workforce development']",Venture Capital - Multi Stage - Emerging Markets,Latin America/Caribbean,5 – 9 years,More than 25,Less than 25%,30 years or more,30 years or more,Less than 25%,50% or more,25% to less than 50%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Human Resources, recruiting and professional development services', 'Other: Fintech support and programming; Fundraising support; Impact support and customer insights projects; Intra-portfolio community and knowledge sharing.']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
REDF Impact Investing Fund,https://redf.org/what-we-do/impact-lending/,Less than $25M,Private Debt - Absolute Return / Notes,8 – Decent Work & Economic Growth,"['Small/Medium Business Development', 'Job creation and workforce development', 'Racial equity and justice']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Development Markets)",US & Canada,3 – 4 years,Between 5 – 25,25% – 49%,20 – 29 years,10 – 19 years,50% or more,Less than 25%,50% or more,Less than 25%,Concessionary Rates,In line with initial target returns,Quarterly,75% – 99%,"Increasing access to workforce development services, job skilling and retraining",Addressing racial inequities,"['Access to markets', 'Business and legal training', 'Financial literacy training']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Regeneration.VC,https://regeneration.vc/,$50 – 99M,Private Equity,12 – Responsible Consumption & Production,"['Clean Technology, Alternative Energy & Climate Change', 'Water and Sanitation', 'Sustainable Agriculture']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,More than 25,Less than 25%,30 years or more,20 – 29 years,25% to less than 50%,Less than 25%,25% to less than 50%,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Access to markets', 'Business and legal training']",Yes,Yes,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Renewal Funds Management
Company Ltd.",https://www.renewalfunds.com/,$100 – 499M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Sustainable Agriculture']",Venture Capital - Late Stage (Series A/B) - Developed Markets,US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,25% to less than 50%,25% to less than 50%,25% to less than 50%,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Creating jobs', 'Addressing gender inequities', 'Other: Board-level guidance, including financial, operational and HR support. We also provide support to pursue B Corp certification, and assist companies with impact metrics development, measurement and reporting to stakeholders.']",Yes,Yes,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
responsAbility Investments AG,https://www.responsability.com/,$1B or more,"Private Debt - Absolute Return / Notes, Private Equity",1 – No Poverty,"['Clean Technology, Alternative Energy & Climate Change', 'Sustainable Agriculture', 'Microfinance, low-income financial services & micro-insurance']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",Western Europe,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,Data Not Available,25% to less than 50%,Data Not Available,Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Addressing gender inequities', 'Access to markets', 'Other: Some funds have a dedicated Technical Assistance Facility that supports partner institutions & potential investees w/ capacity building support to strengthen operations, promote market building & increase overall development impact of our activities.']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Rethink Capital Partners,https://rethink-capital.com/,$1B or more,"Real Estate, Private Equity",10 – Reduced Inequalities,"['Affordable Housing & Community Development', 'Education', 'Demographic-based impact']",Venture Capital - Late Stage (Series A/B) - Developed Markets,US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,50% or more,25% to less than 50%,25% to less than 50%,Market Rates,In line with initial target returns,Quarterly,100%,Other: Our strategies touch almost every facet of daily life: from food and nutrition to access to healthcare and affordable housing to quality education and financial well-being to combating climate change.,Addressing climate change and environmental issues,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Technology training']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
RevHubOC Social Innovation Fund,https://revhuboc.com/revfund/,Less than $25M,"Private Debt - Absolute Return / Notes, Private Equity",13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Nutrition, Health and Wellness', 'Water and Sanitation']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,Between 5 – 25,25% – 49%,30 years or more,10 – 19 years,50% or more,50% or more,50% or more,50% or more,Concessionary Rates,In line with initial target returns,Annually,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Technology training', 'Education services', 'Other: Impact measurement, tracking and valuation']",Yes,Yes,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
RH Capital,https://rhcapital.vc/,$25 – 49M,Private Equity,3 – Good Health & Well-Being,"['Nutrition, Health and Wellness', 'Global Health', 'Diversity, Equity and Inclusion']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,5 – 9 years,More than 25,25% – 49%,20 – 29 years,10 – 19 years,50% or more,Less than 25%,50% or more,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Increasing access to healthcare services and improving health,Access to markets,"['Racial bias training or bias training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Root Capital,https://rootcapital.org/,$25 – 49M,Private Debt - Absolute Return / Notes,1 – No Poverty,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Diversity, Equity and Inclusion']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Development Markets)",US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,Data Not Available,25% to less than 50%,Data Not Available,Concessionary Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Increasing access to workforce development services, job skilling and retraining', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Technology training', 'Education services', 'Other: Gender inclusivity and climate action/remediation']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
RSF Social Finance,https://rsfsocialfinance.org/,$100 – 499M,"Cash / Cash Alternatives, Private Debt - Absolute Return / Notes",13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Education', 'Racial equity and justice']",Private Debt - Other,US & Canada,10 years or more,More than 25,Less than 25%,10 – 19 years,30 years or more,50% or more,25% to less than 50%,50% or more,25% to less than 50%,Concessionary Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Promoting arts and media', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Other: Funding and business advice']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Rubio Fund Management B.V.,https://www.rubio.vc/,$100 – 499M,Private Equity,7 – Affordable & Clean Energy,"['Clean Technology, Alternative Energy & Climate Change', 'Sustainable Agriculture', 'Job creation and workforce development']",Venture Capital - Multi Stage - Developed Markets,Western Europe,5 – 9 years,More than 25,25% – 49%,20 – 29 years,20 – 29 years,25% to less than 50%,Less than 25%,50% or more,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Increasing access to workforce development services, job skilling and retraining","['Access to markets', 'Business and legal training', 'Technology training', 'Education services', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"RuralWorks Partners, LLC",https://www.ruralworkspartners.com/,$25 – 49M,Private Equity,8 – Decent Work & Economic Growth,"['Clean Technology, Alternative Energy & Climate Change', 'Sustainable Agriculture', 'Job creation and workforce development']",Private Equity - Growth Stage (Developed Markets),US & Canada,Less than 3 years,Between 5 – 25,Less than 25%,30 years or more,10 – 19 years,50% or more,Less than 25%,50% or more,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Creating jobs,Addressing climate change and environmental issues,"['Access to markets', 'Financial literacy training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Sandpiper Ventures,https://sandpiper.vc/,Less than $25M,Private Equity,5 – Gender Equality,"['Clean Technology, Alternative Energy & Climate Change', 'Nutrition, Health and Wellness', 'Diversity, Equity and Inclusion']",Venture Capital - Multi Stage - Developed Markets,US & Canada,Less than 3 years,More than 25,Less than 25%,30 years or more,10 – 19 years,50% or more,25% to less than 50%,50% or more,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing gender inequities,Addressing climate change and environmental issues,"['Increasing access to healthcare services and improving health', 'Addressing racial inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Education services', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Satgana (GP) Sàrl,https://www.satgana.com/,Less than $25M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Water and Sanitation', 'Sustainable Agriculture']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Emerging Markets",Western Europe,Less than 3 years,More than 25,100%,10 – 19 years,10 – 19 years,Less than 25%,25% to less than 50%,25% to less than 50%,25% to less than 50%,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Increasing access to water and sanitation', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Technology training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
SDS Capital Group,https://www.sds.capital/,$1B or more,Real Estate,8 – Decent Work & Economic Growth,"['Affordable Housing & Community Development', 'Job creation and workforce development', 'Racial equity and justice']",Real Estate,US & Canada,10 years or more,Between 5 – 25,Less than 25%,30 years or more,30 years or more,50% or more,50% or more,50% or more,25% to less than 50%,Market Rates,In line with initial target returns,Quarterly,100%,Alleviating poverty,Addressing climate change and environmental issues,"['Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Other: Real Estate Development Assistance']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
SEAF,https://www.seaf.com/,$100 – 499M,"Private Debt - Absolute Return / Notes, Private Equity",8 – Decent Work & Economic Growth,"['Sustainable Agriculture', 'Small/Medium Business Development', 'Job creation and workforce development']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Emerging Markets",US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,25% to less than 50%,25% to less than 50%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Creating jobs,Addressing climate change and environmental issues,"['Increasing access to workforce development services, job skilling and retraining', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Access to markets', 'Business and legal training', 'Financial literacy training']",Yes,Yes,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Shared Capital Cooperative,https://sharedcapital.coop/,Less than $25M,"Private Debt - Absolute Return / Notes, Private Equity",8 – Decent Work & Economic Growth,"['Affordable Housing & Community Development', 'Microfinance, low-income financial services & micro-insurance', 'Job creation and workforce development']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Development Markets)",US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,50% or more,50% or more,50% or more,25% to less than 50%,Near-market Rates,In line with initial target returns,Quarterly,100%,Increasing access to financial services,Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Creating jobs', 'Providing housing', 'Addressing racial inequities', 'Addressing gender inequities', 'Business and legal training', 'Financial literacy training', 'Education services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Shared Interest,https://www.sharedinterest.org/,Less than $25M,Private Debt - Absolute Return / Notes,8 – Decent Work & Economic Growth,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Microfinance, low-income financial services & micro-insurance']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",US & Canada,10 years or more,More than 25,Less than 25%,20 – 29 years,20 – 29 years,50% or more,50% or more,50% or more,50% or more,Concessionary Rates,In line with initial target returns,Quarterly,100%,Addressing racial inequities,Addressing climate change and environmental issues,"['Conserving land, oceans, ecosystems and natural resources', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Increasing access to water and sanitation', 'Promoting arts and media', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Education services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
SJF Ventures,https://sjfventures.com/,$100 – 499M,Private Equity,"9 – Industrial, Innovation & Infrastructure","['Clean Technology, Alternative Energy & Climate Change', 'Nutrition, Health and Wellness', 'Education']",Private Equity - Growth Stage (Developed Markets),US & Canada,10 years or more,More than 25,Less than 25%,30 years or more,30 years or more,25% to less than 50%,Less than 25%,Less than 25%,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,"Other: Multiple target impact outcomes across climate change, conservation, job creation, education, improving health, workforce development, addressing inequities.",Addressing climate change and environmental issues,"['Alleviating poverty', 'Conserving land, oceans, ecosystems and natural resources', 'Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to healthcare services and improving health', 'Addressing racial inequities', 'Addressing gender inequities', 'Business and legal training', 'Technology training', 'Human Resources, recruiting and professional development services', 'Other: Ongoing support at the board level, support on value-add portfolio and impact acceleration projects, service provider introductions, platform approach to best practice sharing, etc.']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
SLM Partners,https://www.slmpartners.com/,$100 – 499M,"Real Estate, Commodities",15 – Life on Land,"['Natural Resources and Conservation', 'Sustainable Agriculture']",Real Assets - Farmland,Western Europe,10 years or more,Between 5 – 25,50% – 99%,30 years or more,20 – 29 years,Less than 25%,Less than 25%,Less than 25%,Less than 25%,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,"Conserving land, oceans, ecosystems and natural resources","['Creating jobs', 'Education services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Social Investment Managers and
Advisors, LLC",https://simafunds.com/,$100 – 499M,"Cash / Cash Alternatives, Private Debt - Absolute Return / Notes",7 – Affordable & Clean Energy,"['Clean Technology, Alternative Energy & Climate Change', 'Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",US & Canada,5 – 9 years,Between 5 – 25,50% – 99%,30 years or more,30 years or more,Less than 25%,50% or more,Less than 25%,50% or more,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Alleviating poverty,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Providing housing', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services', 'Other: Gender Lens Training, ESG Training']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Social Venture Exchange
México SAPI de CV",https://www.svx.mx/asset-management-regenera-ventures,Less than $25M,"Private Debt - Absolute Return / Notes, Private Equity",15 – Life on Land,"['Natural Resources and Conservation', 'Sustainable Agriculture']",Mezzanine Finance,US & Canada,Less than 3 years,Between 5 – 25,25% – 49%,10 – 19 years,20 – 29 years,50% or more,50% or more,50% or more,50% or more,Near-market Rates,In line with initial target returns,Quarterly,100%,"Conserving land, oceans, ecosystems and natural resources",Addressing climate change and environmental issues,"['Alleviating poverty', 'Creating jobs', 'Increasing access to financial services', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Racial bias training or bias training', 'Other: Social and environmental safeguards']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Spring Impact Capital,www.springimpactcapital.com,Less than $25M,"Private Debt - Absolute Return / Notes, Private Equity",12 – Responsible Consumption & Production,"['Clean Technology, Alternative Energy & Climate Change', 'Global Health', 'Diversity, Equity and Inclusion']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,Between 5 – 25,50% – 99%,30 years or more,30 years or more,50% or more,50% or more,50% or more,25% to less than 50%,Market Rates,In line with initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Increasing access to healthcare services and improving health,"['Addressing racial inequities', 'Addressing gender inequities', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Education services', 'Racial bias training or bias training', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Springbank,https://springbank.vc/,$25 – 49M,Private Equity,5 – Gender Equality,"['Nutrition, Health and Wellness', 'Diversity, Equity and Inclusion', 'Job creation and workforce development']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,More than 25,Less than 25%,10 – 19 years,3 – 9 years,50% or more,50% or more,50% or more,25% to less than 50%,Above Market Rates,In line with initial target returns,Quarterly,100%,Addressing gender inequities,"Increasing access to workforce development services, job skilling and retraining","['Creating jobs', 'Increasing access to education and improving educational outcomes', 'Increasing access to financial services', 'Increasing access to healthcare services and improving health', 'Addressing racial inequities', 'Human Resources, recruiting and professional development services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
Stichting Medical Credit Fund,https://www.medicalcreditfund.org/,$25 – 49M,Private Debt - Absolute Return / Notes,3 – Good Health & Well-Being,"['Small/Medium Business Development', 'Microfinance, low-income financial services & micro-insurance', 'Global Health']","Private Debt - Financial Inclusion (Microfinance, SME Finance and/or CDFIs - Emerging Markets)",Western Europe,10 years or more,Between 5 – 25,25% – 49%,30 years or more,10 – 19 years,25% to less than 50%,50% or more,25% to less than 50%,50% or more,Near-market Rates,In line with initial target returns,Quarterly,100%,Increasing access to healthcare services and improving health,Creating jobs,"['Increasing access to financial services', 'Addressing gender inequities', 'Business and legal training', 'Other: Technical assistance (e.g. quality improvement)']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Sunwealth Power, Inc.",https://www.sunwealth.com/,$100 – 499M,"Private Debt - Absolute Return / Notes, Private Equity",7 – Affordable & Clean Energy,"['Clean Technology, Alternative Energy & Climate Change', 'Small/Medium Business Development', 'Diversity, Equity and Inclusion']",Private Debt - Other,US & Canada,5 – 9 years,More than 25,25% – 49%,30 years or more,20 – 29 years,50% or more,25% to less than 50%,25% to less than 50%,25% to less than 50%,Market Rates,In line with initial target returns,Annually,100%,Addressing climate change and environmental issues,Alleviating poverty,"['Increasing access to workforce development services, job skilling and retraining', 'Creating jobs', 'Addressing racial inequities', 'Other: Access to clean energy, energy savings, financing for projects']",Yes,No,Yes – to the public,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Superorganism Ventures, LLC",https://www.superorganism.com/,Less than $25M,Private Equity,15 – Life on Land,"['Clean Technology, Alternative Energy & Climate Change', 'Natural Resources and Conservation', 'Sustainable Agriculture']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,Less than 3 years,More than 25,50% – 99%,10 – 19 years,3 – 9 years,Less than 25%,Less than 25%,Less than 25%,Less than 25%,Above Market Rates,In line with initial target returns,Quarterly,100%,"Conserving land, oceans, ecosystems and natural resources",Addressing climate change and environmental issues,"['Access to markets', 'Business and legal training']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
"Thin Line Capital, LLC",https://www.thinlinecapital.com/,Less than $25M,Private Equity,13 – Climate Action,"['Clean Technology, Alternative Energy & Climate Change', 'Water and Sanitation', 'Sustainable Agriculture']","Venture Capital - Early Stage (Pre-seed/seed, Accelerator, Angel) - Developed Markets",US & Canada,5 – 9 years,Between 5 – 25,50% – 99%,10 – 19 years,10 – 19 years,Less than 25%,Less than 25%,Less than 25%,Less than 25%,Above Market Rates,Over-delivered compared to initial target returns,Quarterly,100%,Addressing climate change and environmental issues,Alleviating poverty,"['Creating jobs', 'Increasing access to water and sanitation', 'Access to markets', 'Business and legal training', 'Financial literacy training', 'Education services']",Yes,No,Yes – to investors and donors,"['GIIRS-rated fund', 'B-Corp certified firm', 'Participant in Global Reporting Initiative', 'Signatory of the United Principles for Responsible Investing', 'Listed on ImpactBase', 'Participant in the Impact Management Project', 'Signatory of the IFC Operating Principles for Impact Management']"
